"Title","State support"
"Location","United Kingdom"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","16 March 2017"
"Benefit","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","25","1,659","","","",""
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,659","","","",""
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","25","1,659","","","",""
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","1,659","","","",""
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,659","","","",""
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","1,659","","","",""
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,659","","","",""
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,659","","","",""
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,659","","","",""
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,659","","","",""
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,659","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,659","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,659","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","1,659","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","1,659","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,659","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,659","","","",""
"All in receipt of state support by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","49","597","","","",""
"All in receipt of benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","47","597","","","",""
"All in receipt of Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","17","597","","","",""
"On any income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","26","597","","","",""
"On any non-income-related benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","42","597","","","",""
"Child Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","26","597","","","",""
"Working Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","597","","","",""
"Child Tax Credit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","597","","","",""
"Income Support by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","597","","","",""
"Housing Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","597","","","",""
"Pension Credit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","597","","","",""
"Council Tax Reduction by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","597","","","",""
"Jobseeker's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","597","","","",""
"Employment and Support Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","597","","","",""
"State Pension by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","597","","","",""
"Widow's Benefits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","597","","","",""
"Incapacity Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","597","","","",""
"Severe Disablement Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","597","","","",""
"Attendance Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","597","","","",""
"Carer's Allowance by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","597","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","597","","","","Includes Personal Independence Payment (daily living component)"
"Disability Living Allowance (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","597","","","","Includes Personal Independence Payment (mobility component)"
"Personal Independence Payment (daily living component) by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","597","","","","Included in DLA (care)"
"Personal Independence Payment (mobility component) by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","597","","","","Included in DLA (mobility)"
"Industrial Injuries Disablement Benefit by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","597","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","597","","","",""
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","57","69,237","","","",""
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","56","69,237","","","",""
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","69,237","","","",""
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","69,237","","","",""
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","53","69,237","","","",""
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","20","69,237","","","",""
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","69,237","","","",""
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","69,237","","","",""
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","69,237","","","",""
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","69,237","","","",""
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","69,237","","","",""
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","69,237","","","",""
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","69,237","","","",""
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","69,237","","","",""
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","25","69,237","","","",""
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","69,237","","","",""
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","69,237","","","",""
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","69,237","","","",""
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","69,237","","","",""
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","69,237","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","69,237","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","69,237","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","69,237","","","",""
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","69,237","","","",""
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","69,237","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","69,237","","","",""
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","58","63,103","","","",""
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","57","63,103","","","",""
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","63,103","","","",""
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","63,103","","","",""
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","54","63,103","","","",""
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","63,103","","","",""
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","63,103","","","",""
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","63,103","","","",""
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","63,103","","","",""
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","63,103","","","",""
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","63,103","","","",""
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","63,103","","","",""
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","63,103","","","",""
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","63,103","","","",""
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","27","63,103","","","",""
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","63,103","","","",""
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","63,103","","","",""
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","63,103","","","",""
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","63,103","","","",""
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","63,103","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","63,103","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","63,103","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","63,103","","","",""
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","63,103","","","",""
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","63,103","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","63,103","","","",""
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","59","60,182","","","",""
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","58","60,182","","","",""
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","60,182","","","",""
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","60,182","","","",""
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","55","60,182","","","",""
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","60,182","","","",""
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","60,182","","","",""
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","60,182","","","",""
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","60,182","","","",""
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","60,182","","","",""
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","60,182","","","",""
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","60,182","","","",""
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","60,182","","","",""
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","60,182","","","",""
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","28","60,182","","","",""
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","60,182","","","",""
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","60,182","","","",""
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","60,182","","","",""
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","60,182","","","",""
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","60,182","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","60,182","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","60,182","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","60,182","","","",""
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","60,182","","","",""
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","60,182","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","60,182","","","",""
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","42","2,921","","","",""
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","41","2,921","","","",""
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","2,921","","","",""
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","2,921","","","",""
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","39","2,921","","","",""
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","24","2,921","","","",""
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","2,921","","","",""
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","2,921","","","",""
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,921","","","",""
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","2,921","","","",""
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,921","","","",""
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","2,921","","","",""
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,921","","","",""
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,921","","","",""
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","2,921","","","",""
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,921","","","",""
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,921","","","",""
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,921","","","",""
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,921","","","",""
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,921","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,921","","","",""
"Disability Living Allowance (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,921","","","",""
"Personal Independence Payment (daily living component) by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,921","","","",""
"Personal Independence Payment (mobility component) by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,921","","","",""
"Industrial Injuries Disablement Benefit by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,921","","","",""
"Armed Forces Compensation Scheme by ethnic group of head","2013/14-2015/16","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,921","","","",""
"All in receipt of state support by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","45","617","","","",""
"All in receipt of benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","44","617","","","",""
"All in receipt of Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","15","617","","","",""
"On any income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","24","617","","","",""
"On any non-income-related benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","37","617","","","",""
"Child Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","24","617","","","",""
"Working Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","617","","","",""
"Child Tax Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","617","","","",""
"Income Support by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","617","","","",""
"Housing Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","17","617","","","",""
"Pension Credit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","617","","","",""
"Council Tax Reduction by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","17","617","","","",""
"Jobseeker's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","617","","","",""
"Employment and Support Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","617","","","",""
"State Pension by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","617","","","",""
"Widow's Benefits by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","617","","","",""
"Incapacity Benefit by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","617","","","",""
"Severe Disablement Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","0","617","","","",""
"Attendance Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","617","","","",""
"Carer's Allowance by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","617","","","",""
"Disability Living Allowance (care component) by ethnic group of head","2013/14-2015/16","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","617","","","",""
